Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Sensory box/GGDEF family protein,RAST2:fig|442.17.peg.1439,141,"562587, 562593, 562605, 562606, 562610, 562629, 562630, 562642, 562651, 562656, 562667, 562677, 562678, 562701, 562708, 562731, 562736, 562763, 562779, 562784, 562785, 562795, 562830, 562845, 562872, 562942, 562949, 562977, 563015, 563027, 563028, 563052, 563059, 563060, 563113, 563118, 563126, 563136, 563165, 563181, 563193, 563212, 563213, 563216, 563217, 563229, 563249, 563250, 563255, 563256, 563272, 563280, 563323, 563325, 563328, 563329, 563384, 563387, 563388, 563397, 563398, 563423, 563445, 563459, 563463, 563467, 563481, 563527, 563600, 563615, 563621, 563637, 563639, 563642, 563643, 563644, 563645, 563654, 563670, 563689, 563690, 563699, 563700, 563714, 563720, 563721, 563723, 563732, 563735, 563748, 563752, 563753, 563772, 563773, 563777, 563781, 563782, 563792, 563793, 563805, 563808, 563809, 563817, 563821, 563822, 563832, 563843, 563846, 563853, 563862, 563864, 563868, 563873, 563884, 563895, 563901, 563911, 563928, 563936, 563937, 563953, 563962, 563989, 564017, 564018, 564051, 564054, 564062, 564130, 564131, 564132, 564174, 564183, 564194, 564198, 564229, 564230, 564231, 564250, 564255, 564325"
hypothetical protein,RAST2:fig|442.17.peg.1440,18,"564347, 564353, 564365, 564366, 564370, 564389, 564390, 564402, 564411, 564416, 564427, 564437, 564438, 564461, 564468, 564491, 564496, 564523"
"GDP-mannose 4,6-dehydratase",RAST2:fig|442.17.peg.1441,68,"564815, 564821, 564833, 564834, 564838, 564857, 564858, 564870, 564879, 564884, 564895, 564905, 564906, 564929, 564936, 564959, 564964, 564991, 565007, 565012, 565013, 565023, 565058, 565073, 565100, 565170, 565177, 565205, 565243, 565255, 565256, 565280, 565287, 565288, 565341, 565346, 565354, 565364, 565393, 565409, 565421, 565440, 565441, 565444, 565445, 565457, 565477, 565478, 565483, 565484, 565500, 565508, 565551, 565553, 565556, 565557, 565612, 565615, 565616, 565625, 565626, 565651, 565673, 565687, 565691, 565695, 565709, 565755"
"GDP-mannose 4,6-dehydratase",RAST2:fig|442.17.peg.1442,67,"565811, 565817, 565829, 565830, 565834, 565853, 565854, 565866, 565875, 565880, 565891, 565901, 565902, 565925, 565932, 565955, 565960, 565987, 566003, 566008, 566009, 566019, 566054, 566069, 566096, 566166, 566173, 566201, 566239, 566251, 566252, 566276, 566283, 566284, 566337, 566342, 566350, 566360, 566389, 566405, 566417, 566436, 566437, 566440, 566441, 566453, 566473, 566474, 566479, 566480, 566496, 566504, 566547, 566549, 566552, 566553, 566608, 566611, 566612, 566621, 566622, 566647, 566669, 566683, 566687, 566691, 566705"
"D-glycero-beta-D-manno-heptose-1,7-bisphosphate",RAST2:fig|442.17.peg.1443,102,"566740, 566746, 566758, 566759, 566763, 566782, 566783, 566795, 566804, 566809, 566820, 566830, 566831, 566854, 566861, 566884, 566889, 566916, 566932, 566937, 566938, 566948, 566983, 566998, 567025, 567095, 567102, 567130, 567168, 567180, 567181, 567205, 567212, 567213, 567266, 567271, 567279, 567289, 567318, 567334, 567346, 567365, 567366, 567369, 567370, 567382, 567402, 567403, 567408, 567409, 567425, 567433, 567476, 567478, 567481, 567482, 567537, 567540, 567541, 567550, 567551, 567576, 567598, 567612, 567616, 567620, 567634, 567680, 567753, 567768, 567774, 567790, 567792, 567795, 567796, 567797, 567798, 567807, 567823, 567842, 567843, 567852, 567853, 567867, 567873, 567874, 567876, 567885, 567888, 567901, 567905, 567906, 567925, 567926, 567930, 567934, 567935, 567945, 567946, 567958, 567961, 567962"
hypothetical protein,RAST2:fig|442.17.peg.1444,155,"568083, 568089, 568101, 568102, 568106, 568125, 568126, 568138, 568147, 568152, 568163, 568173, 568174, 568197, 568204, 568227, 568232, 568259, 568275, 568280, 568281, 568291, 568326, 568341, 568368, 568438, 568445, 568473, 568511, 568523, 568524, 568548, 568555, 568556, 568609, 568614, 568622, 568632, 568661, 568677, 568689, 568708, 568709, 568712, 568713, 568725, 568745, 568746, 568751, 568752, 568768, 568776, 568819, 568821, 568824, 568825, 568880, 568883, 568884, 568893, 568894, 568919, 568941, 568955, 568959, 568963, 568977, 569023, 569096, 569111, 569117, 569133, 569135, 569138, 569139, 569140, 569141, 569150, 569166, 569185, 569186, 569195, 569196, 569210, 569216, 569217, 569219, 569228, 569231, 569244, 569248, 569249, 569268, 569269, 569273, 569277, 569278, 569288, 569289, 569301, 569304, 569305, 569313, 569317, 569318, 569328, 569339, 569342, 569349, 569358, 569360, 569364, 569369, 569380, 569391, 569397, 569407, 569424, 569432, 569433, 569449, 569458, 569485, 569513, 569514, 569547, 569550, 569558, 569626, 569627, 569628, 569670, 569679, 569690, 569694, 569725, 569726, 569727, 569746, 569751, 569821, 569855, 569869, 569876, 569879, 569884, 569892, 569897, 569932, 569935, 569957, 569984, 570042, 570043, 570044"
hypothetical protein,RAST2:fig|442.17.peg.1445,15,"570182, 570188, 570200, 570201, 570205, 570224, 570225, 570237, 570246, 570251, 570262, 570272, 570273, 570296, 570303"
Lipopolysaccharide N-acetylglucosaminyltransfer,RAST2:fig|442.17.peg.1446,126,"570480, 570486, 570498, 570499, 570503, 570522, 570523, 570535, 570544, 570549, 570560, 570570, 570571, 570594, 570601, 570624, 570629, 570656, 570672, 570677, 570678, 570688, 570723, 570738, 570765, 570835, 570842, 570870, 570908, 570920, 570921, 570945, 570952, 570953, 571006, 571011, 571019, 571029, 571058, 571074, 571086, 571105, 571106, 571109, 571110, 571122, 571142, 571143, 571148, 571149, 571165, 571173, 571216, 571218, 571221, 571222, 571277, 571280, 571281, 571290, 571291, 571316, 571338, 571352, 571356, 571360, 571374, 571420, 571493, 571508, 571514, 571530, 571532, 571535, 571536, 571537, 571538, 571547, 571563, 571582, 571583, 571592, 571593, 571607, 571613, 571614, 571616, 571625, 571628, 571641, 571645, 571646, 571665, 571666, 571670, 571674, 571675, 571685, 571686, 571698, 571701, 571702, 571710, 571714, 571715, 571725, 571736, 571739, 571746, 571755, 571757, 571761, 571766, 571777, 571788, 571794, 571804, 571821, 571829, 571830, 571846, 571855, 571882, 571910, 571911, 571944"
"glycosyl transferase, group 1",RAST2:fig|442.17.peg.1447,120,"571952, 571958, 571970, 571971, 571975, 571994, 571995, 572007, 572016, 572021, 572032, 572042, 572043, 572066, 572073, 572096, 572101, 572128, 572144, 572149, 572150, 572160, 572195, 572210, 572237, 572307, 572314, 572342, 572380, 572392, 572393, 572417, 572424, 572425, 572478, 572483, 572491, 572501, 572530, 572546, 572558, 572577, 572578, 572581, 572582, 572594, 572614, 572615, 572620, 572621, 572637, 572645, 572688, 572690, 572693, 572694, 572749, 572752, 572753, 572762, 572763, 572788, 572810, 572824, 572828, 572832, 572846, 572892, 572965, 572980, 572986, 573002, 573004, 573007, 573008, 573009, 573010, 573019, 573035, 573054, 573055, 573064, 573065, 573079, 573085, 573086, 573088, 573097, 573100, 573113, 573117, 573118, 573137, 573138, 573142, 573146, 573147, 573157, 573158, 573170, 573173, 573174, 573182, 573186, 573187, 573197, 573208, 573211, 573218, 573227, 573229, 573233, 573238, 573249, 573260, 573266, 573276, 573293, 573301, 573302"
hypothetical protein,RAST2:fig|442.17.peg.1448,15,"573362, 573368, 573380, 573381, 573385, 573404, 573405, 573417, 573426, 573431, 573442, 573452, 573453, 573476, 573483"
Methylthioribose-1-phosphate isomerase,RAST2:fig|442.17.peg.1449,79,"573486, 573492, 573504, 573505, 573509, 573528, 573529, 573541, 573550, 573555, 573566, 573576, 573577, 573600, 573607, 573630, 573635, 573662, 573678, 573683, 573684, 573694, 573729, 573744, 573771, 573841, 573848, 573876, 573914, 573926, 573927, 573951, 573958, 573959, 574012, 574017, 574025, 574035, 574064, 574080, 574092, 574111, 574112, 574115, 574116, 574128, 574148, 574149, 574154, 574155, 574171, 574179, 574222, 574224, 574227, 574228, 574283, 574286, 574287, 574296, 574297, 574322, 574344, 574358, 574362, 574366, 574380, 574426, 574499, 574514, 574520, 574536, 574538, 574541, 574542, 574543, 574544, 574553, 574569"
hypothetical protein,RAST2:fig|442.17.peg.1450,25,"574622, 574628, 574640, 574641, 574645, 574664, 574665, 574677, 574686, 574691, 574702, 574712, 574713, 574736, 574743, 574766, 574771, 574798, 574814, 574819, 574820, 574830, 574865, 574880, 574907"
hypothetical protein,RAST2:fig|442.17.peg.1451,67,"575040, 575046, 575058, 575059, 575063, 575082, 575083, 575095, 575104, 575109, 575120, 575130, 575131, 575154, 575161, 575184, 575189, 575216, 575232, 575237, 575238, 575248, 575283, 575298, 575325, 575395, 575402, 575430, 575468, 575480, 575481, 575505, 575512, 575513, 575566, 575571, 575579, 575589, 575618, 575634, 575646, 575665, 575666, 575669, 575670, 575682, 575702, 575703, 575708, 575709, 575725, 575733, 575776, 575778, 575781, 575782, 575837, 575840, 575841, 575850, 575851, 575876, 575898, 575912, 575916, 575920, 575934"
hypothetical protein,RAST2:fig|442.17.peg.1452,28,"575930, 575936, 575948, 575949, 575953, 575972, 575973, 575985, 575994, 575999, 576010, 576020, 576021, 576044, 576051, 576074, 576079, 576106, 576122, 576127, 576128, 576138, 576173, 576188, 576215, 576285, 576292, 576320"
Cystathionine beta-synthase,RAST2:fig|442.17.peg.1453,71,"576416, 576422, 576434, 576435, 576439, 576458, 576459, 576471, 576480, 576485, 576496, 576506, 576507, 576530, 576537, 576560, 576565, 576592, 576608, 576613, 576614, 576624, 576659, 576674, 576701, 576771, 576778, 576806, 576844, 576856, 576857, 576881, 576888, 576889, 576942, 576947, 576955, 576965, 576994, 577010, 577022, 577041, 577042, 577045, 577046, 577058, 577078, 577079, 577084, 577085, 577101, 577109, 577152, 577154, 577157, 577158, 577213, 577216, 577217, 577226, 577227, 577252, 577274, 577288, 577292, 577296, 577310, 577356, 577429, 577444, 577450"
Two-component transcriptional response regulato,RAST2:fig|442.17.peg.1454,52,"577571, 577577, 577589, 577590, 577594, 577613, 577614, 577626, 577635, 577640, 577651, 577661, 577662, 577685, 577692, 577715, 577720, 577747, 577763, 577768, 577769, 577779, 577814, 577829, 577856, 577926, 577933, 577961, 577999, 578011, 578012, 578036, 578043, 578044, 578097, 578102, 578110, 578120, 578149, 578165, 578177, 578196, 578197, 578200, 578201, 578213, 578233, 578234, 578239, 578240, 578256, 578264"
Two-component system sensor histidine kinase,RAST2:fig|442.17.peg.1455,134,"578302, 578308, 578320, 578321, 578325, 578344, 578345, 578357, 578366, 578371, 578382, 578392, 578393, 578416, 578423, 578446, 578451, 578478, 578494, 578499, 578500, 578510, 578545, 578560, 578587, 578657, 578664, 578692, 578730, 578742, 578743, 578767, 578774, 578775, 578828, 578833, 578841, 578851, 578880, 578896, 578908, 578927, 578928, 578931, 578932, 578944, 578964, 578965, 578970, 578971, 578987, 578995, 579038, 579040, 579043, 579044, 579099, 579102, 579103, 579112, 579113, 579138, 579160, 579174, 579178, 579182, 579196, 579242, 579315, 579330, 579336, 579352, 579354, 579357, 579358, 579359, 579360, 579369, 579385, 579404, 579405, 579414, 579415, 579429, 579435, 579436, 579438, 579447, 579450, 579463, 579467, 579468, 579487, 579488, 579492, 579496, 579497, 579507, 579508, 579520, 579523, 579524, 579532, 579536, 579537, 579547, 579558, 579561, 579568, 579577, 579579, 579583, 579588, 579599, 579610, 579616, 579626, 579643, 579651, 579652, 579668, 579677, 579704, 579732, 579733, 579766, 579769, 579777, 579845, 579846, 579847, 579889, 579898, 579909"
"Tas protein, an NADP",RAST2:fig|442.17.peg.1456,71,"580010, 580016, 580028, 580029, 580033, 580052, 580053, 580065, 580074, 580079, 580090, 580100, 580101, 580124, 580131, 580154, 580159, 580186, 580202, 580207, 580208, 580218, 580253, 580268, 580295, 580365, 580372, 580400, 580438, 580450, 580451, 580475, 580482, 580483, 580536, 580541, 580549, 580559, 580588, 580604, 580616, 580635, 580636, 580639, 580640, 580652, 580672, 580673, 580678, 580679, 580695, 580703, 580746, 580748, 580751, 580752, 580807, 580810, 580811, 580820, 580821, 580846, 580868, 580882, 580886, 580890, 580904, 580950, 581023, 581038, 581044"
16S rRNA,RAST2:fig|442.17.peg.1457,117,"581105, 581111, 581123, 581124, 581128, 581147, 581148, 581160, 581169, 581174, 581185, 581195, 581196, 581219, 581226, 581249, 581254, 581281, 581297, 581302, 581303, 581313, 581348, 581363, 581390, 581460, 581467, 581495, 581533, 581545, 581546, 581570, 581577, 581578, 581631, 581636, 581644, 581654, 581683, 581699, 581711, 581730, 581731, 581734, 581735, 581747, 581767, 581768, 581773, 581774, 581790, 581798, 581841, 581843, 581846, 581847, 581902, 581905, 581906, 581915, 581916, 581941, 581963, 581977, 581981, 581985, 581999, 582045, 582118, 582133, 582139, 582155, 582157, 582160, 582161, 582162, 582163, 582172, 582188, 582207, 582208, 582217, 582218, 582232, 582238, 582239, 582241, 582250, 582253, 582266, 582270, 582271, 582290, 582291, 582295, 582299, 582300, 582310, 582311, 582323, 582326, 582327, 582335, 582339, 582340, 582350, 582361, 582364, 582371, 582380, 582382, 582386, 582391, 582402, 582413, 582419, 582429"
UPF0001 protein YggS,RAST2:fig|442.17.peg.1458,51,"582506, 582512, 582524, 582525, 582529, 582548, 582549, 582561, 582570, 582575, 582586, 582596, 582597, 582620, 582627, 582650, 582655, 582682, 582698, 582703, 582704, 582714, 582749, 582764, 582791, 582861, 582868, 582896, 582934, 582946, 582947, 582971, 582978, 582979, 583032, 583037, 583045, 583055, 583084, 583100, 583112, 583131, 583132, 583135, 583136, 583148, 583168, 583169, 583174, 583175, 583191"
Kup system potassium uptake protein,RAST2:fig|442.17.peg.1459,156,"583332, 583338, 583350, 583351, 583355, 583374, 583375, 583387, 583396, 583401, 583412, 583422, 583423, 583446, 583453, 583476, 583481, 583508, 583524, 583529, 583530, 583540, 583575, 583590, 583617, 583687, 583694, 583722, 583760, 583772, 583773, 583797, 583804, 583805, 583858, 583863, 583871, 583881, 583910, 583926, 583938, 583957, 583958, 583961, 583962, 583974, 583994, 583995, 584000, 584001, 584017, 584025, 584068, 584070, 584073, 584074, 584129, 584132, 584133, 584142, 584143, 584168, 584190, 584204, 584208, 584212, 584226, 584272, 584345, 584360, 584366, 584382, 584384, 584387, 584388, 584389, 584390, 584399, 584415, 584434, 584435, 584444, 584445, 584459, 584465, 584466, 584468, 584477, 584480, 584493, 584497, 584498, 584517, 584518, 584522, 584526, 584527, 584537, 584538, 584550, 584553, 584554, 584562, 584566, 584567, 584577, 584588, 584591, 584598, 584607, 584609, 584613, 584618, 584629, 584640, 584646, 584656, 584673, 584681, 584682, 584698, 584707, 584734, 584762, 584763, 584796, 584799, 584807, 584875, 584876, 584877, 584919, 584928, 584939, 584943, 584974, 584975, 584976, 584995, 585000, 585070, 585104, 585118, 585125, 585128, 585133, 585141, 585146, 585181, 585184, 585206, 585233, 585291, 585292, 585293, 585329"
"Radical SAM family enzyme, similar to coproporp",RAST2:fig|442.17.peg.1460,92,"585344, 585350, 585362, 585363, 585367, 585386, 585387, 585399, 585408, 585413, 585424, 585434, 585435, 585458, 585465, 585488, 585493, 585520, 585536, 585541, 585542, 585552, 585587, 585602, 585629, 585699, 585706, 585734, 585772, 585784, 585785, 585809, 585816, 585817, 585870, 585875, 585883, 585893, 585922, 585938, 585950, 585969, 585970, 585973, 585974, 585986, 586006, 586007, 586012, 586013, 586029, 586037, 586080, 586082, 586085, 586086, 586141, 586144, 586145, 586154, 586155, 586180, 586202, 586216, 586220, 586224, 586238, 586284, 586357, 586372, 586378, 586394, 586396, 586399, 586400, 586401, 586402, 586411, 586427, 586446, 586447, 586456, 586457, 586471, 586477, 586478, 586480, 586489, 586492, 586505, 586509, 586510"
Inosine-uridine preferring nucleoside hydrolase,RAST2:fig|442.17.peg.1461,79,"586559, 586565, 586577, 586578, 586582, 586601, 586602, 586614, 586623, 586628, 586639, 586649, 586650, 586673, 586680, 586703, 586708, 586735, 586751, 586756, 586757, 586767, 586802, 586817, 586844, 586914, 586921, 586949, 586987, 586999, 587000, 587024, 587031, 587032, 587085, 587090, 587098, 587108, 587137, 587153, 587165, 587184, 587185, 587188, 587189, 587201, 587221, 587222, 587227, 587228, 587244, 587252, 587295, 587297, 587300, 587301, 587356, 587359, 587360, 587369, 587370, 587395, 587417, 587431, 587435, 587439, 587453, 587499, 587572, 587587, 587593, 587609, 587611, 587614, 587615, 587616, 587617, 587626, 587642"
hypothetical protein,RAST2:fig|442.17.peg.1462,28,"587686, 587692, 587704, 587705, 587709, 587728, 587729, 587741, 587750, 587755, 587766, 587776, 587777, 587800, 587807, 587830, 587835, 587862, 587878, 587883, 587884, 587894, 587929, 587944, 587971, 588041, 588048, 588076"
Putative hydroxylase,RAST2:fig|442.17.peg.1463,70,"588161, 588167, 588179, 588180, 588184, 588203, 588204, 588216, 588225, 588230, 588241, 588251, 588252, 588275, 588282, 588305, 588310, 588337, 588353, 588358, 588359, 588369, 588404, 588419, 588446, 588516, 588523, 588551, 588589, 588601, 588602, 588626, 588633, 588634, 588687, 588692, 588700, 588710, 588739, 588755, 588767, 588786, 588787, 588790, 588791, 588803, 588823, 588824, 588829, 588830, 588846, 588854, 588897, 588899, 588902, 588903, 588958, 588961, 588962, 588971, 588972, 588997, 589019, 589033, 589037, 589041, 589055, 589101, 589174, 589189"
hypothetical protein,RAST2:fig|442.17.peg.1464,28,"589201, 589207, 589219, 589220, 589224, 589243, 589244, 589256, 589265, 589270, 589281, 589291, 589292, 589315, 589322, 589345, 589350, 589377, 589393, 589398, 589399, 589409, 589444, 589459, 589486, 589556, 589563, 589591"
hypothetical protein,RAST2:fig|442.17.peg.1465,155,"589679, 589685, 589697, 589698, 589702, 589721, 589722, 589734, 589743, 589748, 589759, 589769, 589770, 589793, 589800, 589823, 589828, 589855, 589871, 589876, 589877, 589887, 589922, 589937, 589964, 590034, 590041, 590069, 590107, 590119, 590120, 590144, 590151, 590152, 590205, 590210, 590218, 590228, 590257, 590273, 590285, 590304, 590305, 590308, 590309, 590321, 590341, 590342, 590347, 590348, 590364, 590372, 590415, 590417, 590420, 590421, 590476, 590479, 590480, 590489, 590490, 590515, 590537, 590551, 590555, 590559, 590573, 590619, 590692, 590707, 590713, 590729, 590731, 590734, 590735, 590736, 590737, 590746, 590762, 590781, 590782, 590791, 590792, 590806, 590812, 590813, 590815, 590824, 590827, 590840, 590844, 590845, 590864, 590865, 590869, 590873, 590874, 590884, 590885, 590897, 590900, 590901, 590909, 590913, 590914, 590924, 590935, 590938, 590945, 590954, 590956, 590960, 590965, 590976, 590987, 590993, 591003, 591020, 591028, 591029, 591045, 591054, 591081, 591109, 591110, 591143, 591146, 591154, 591222, 591223, 591224, 591266, 591275, 591286, 591290, 591321, 591322, 591323, 591342, 591347, 591417, 591451, 591465, 591472, 591475, 591480, 591488, 591493, 591528, 591531, 591553, 591580, 591638, 591639, 591640"
